Accession,Gene
H3BNQ7,ABAT
Q15118,PDK1
Q04446,GBE1
B8ZZ54,HSPE1
P61604,HSPE1
A0A494C1M4,ALDH1L2
Q15029,EFTUD2
F8WD83,METTL15
Q9NRX4,PHPT1
P31946,YWHAB
P62258,YWHAE
Q04917,YWHAH
P61981,YWHAG
P31947,SFN
P27348,YWHAQ
P63104,YWHAZ
A0A2R8Y5C4,TNKS1BP1
C9JBM3,ABHD5
Q99943,AGPAT1
Q9NUQ2,AGPAT5
Q01970,PLCB3
P51178,PLCD1
P16885,PLCG2
P09543,CNP
Q16698,DECR1
P29728,OAS2
Q15646,OASL
Q99460,PSMD1
O00231,PSMD11
O00232,PSMD12
Q9UNM6,PSMD13
O00487,PSMD14
Q13200,PSMD2
O43242,PSMD3
A6PVX3,PSMD4
Q16401,PSMD5
Q15008,PSMD6
P51665,PSMD7
P48556,PSMD8
F5H5V4,PSMD9
A0A087X2I1,PSMC6
P62191,PSMC1
R4GNH3,PSMC3
P43686,PSMC4
P35998,PSMC2
P62195,PSMC5
Q13442,PDAP1
P82912,MRPS11
O15235,MRPS12
O60783,MRPS14
P82914,MRPS15
E9PE17,MRPS17
Q9Y399,MRPS2
P82921,MRPS21
P82650,MRPS22
Q9Y3D9,MRPS23
P82663,MRPS25
Q9BYN8,MRPS26
G5EA06,MRPS27
Q9Y2Q9,MRPS28
P51398,DAP3
Q92665,MRPS31
C9JBY7,MRPS33
C9JJ19,MRPS34
P82673,MRPS35
P82675,MRPS5
P82932,MRPS6
Q9Y2R9,MRPS7
P82933,MRPS9
Q96P11,NSUN5
Q9UJ83,HACL1
M0R1B5,ILVBL
Q16880,UGT8
E9PFG7,OGDH
Q9BYD6,MRPL1
Q7Z7H8,MRPL10
Q9BYD1,MRPL13
Q6P1L8,MRPL14
Q9P015,MRPL15
Q9NX20,MRPL16
Q9NRX2,MRPL17
Q9H0U6,MRPL18
P49406,MRPL19
Q9BYC9,MRPL20
Q7Z2W9,MRPL21
Q9NWU5,MRPL22
Q16540,MRPL23
Q96A35,MRPL24
Q13084,MRPL28
P09001,MRPL3
B8ZZV5,MRPL30
S4R369,MRPL37
Q96DV4,MRPL38
C9JG87,MRPL39
Q9BYD3,MRPL4
Q9NQ50,MRPL40
Q8IXM3,MRPL41
Q9H9J2,MRPL44
A0A087X2D5,MRPL45
Q9H2W6,MRPL46
Q9HD33,MRPL47
Q96GC5,MRPL48
X6RIW1,MRPL55
Q9NVS2,MRPS18A
Q9NP92,MRPS30
Q15125,EBP
Q99714,HSD17B10
Q6NVY1,HIBCH
K7EME0,ACAA2
H7C131,ACAA1
P46783,RPS10
P62280,RPS11
P25398,RPS12
