Stable interaction,Class
ARVCF,Stable
AZGP1,Stable
CAT,Stable
CDH1,Bait
CTNNB1,Stable
DSG1,Stable
HBA1,Stable
HSPA5,Stable
KRT77,Stable
LTF,Stable
PKP4,Stable
S100A8,Stable
SLC3A2,Stable
SPINT1,Stable
TGM3,Stable
ATP1A1,Stable
BLMH,Stable
DSG2,Stable
FLG,Stable
KRT17,Stable
KRT80,Stable
LDHA,Stable
TGM1,Stable
ANXA1,Stable
ATAD3B,Stable
CALML5,Stable
CDH3,Stable
CLTC,Stable
EEF2,Stable
FLNA,Stable
HSP90AA1,Stable
JUP,Stable
LDHB,Stable
LMNA,Stable
PDIA4,Stable
RPS11,Stable
SERPINB12,Stable
SF3B1,Stable
SLC16A1,Stable
TMTC3,Stable
ALDOA,Dynamic
ASAH1,Dynamic
CLCC1,Dynamic
CSTA,Dynamic
CTNNA1,Dynamic
DSC1,Dynamic
DSC3,Dynamic
EPPK1,Dynamic
FASN,Dynamic
HSP90B1,Dynamic
KHSRP,Dynamic
KIAA1217,Dynamic
KRT4,Dynamic
LGALS7,Dynamic
NUP214,Dynamic
P4HB,Dynamic
PKM,Dynamic
RUVBL2,Dynamic
S100A7,Dynamic
SBSN,Dynamic
SERPINB3,Dynamic
TIAL1,Dynamic
TRIM21,Dynamic
UBAP2L,Dynamic
ACTN4,Dynamic
CALR,Dynamic
EEF1G,Dynamic
EPCAM,Dynamic
FLG2,Dynamic
HADHA,Dynamic
HADHB,Dynamic
HNRNPA2B1,Dynamic
HNRNPC,Dynamic
HNRNPK,Dynamic
KPRP,Dynamic
KRT23,Dynamic
PFN1,Dynamic
PGK1,Dynamic
PRDX1,Dynamic
PRPF8,Dynamic
RAB7A,Dynamic
RPL27,Dynamic
RPL6,Dynamic
RPL7,Dynamic
RPL7A,Dynamic
RPS13,Dynamic
RPS27A,Dynamic
RPS3,Dynamic
RPS9,Dynamic
RPSA,Dynamic
RUVBL1,Dynamic
SFPQ,Dynamic
SNRNP200,Dynamic
TUBB3,Dynamic
ALB,Dynamic
AMY1A,Dynamic
ANK3,Dynamic
ANXA2,Dynamic
ATP5F1B,Dynamic
CLINT1,Dynamic
CPA4,Dynamic
DDX3X,Dynamic
DSP,Dynamic
FABP5,Dynamic
FIP1L1,Dynamic
GANAB,Dynamic
GAPDH,Dynamic
GGCT,Dynamic
HBB,Dynamic
HNRNPD,Dynamic
HNRNPUL1,Dynamic
HSPA1B,Dynamic
HSPA8,Dynamic
HSPA9,Dynamic
IGF2R,Dynamic
ILF3,Dynamic
IMMT,Dynamic
IMPDH2,Dynamic
KRT19,Dynamic
KRT7,Dynamic
KRT78,Dynamic
LCN1,Dynamic
LRPPRC,Dynamic
NCL,Dynamic
NCSTN,Dynamic
NUDT21,Dynamic
NUP98,Dynamic
PDIA3,Dynamic
PDIA6,Dynamic
PHB,Dynamic
PHGDH,Dynamic
POF1B,Dynamic
PPIB,Dynamic
PRKDC,Dynamic
RAB5C,Dynamic
RAE1,Dynamic
RBM14,Dynamic
RPL13,Dynamic
RPL9,Dynamic
RPS3A,Dynamic
RPS7,Dynamic
RPS8,Dynamic
S100A9,Dynamic
SF1,Dynamic
SLC25A13,Dynamic
SQSTM1,Dynamic
TIA1,Dynamic
TPI1,Dynamic
VDAC1,Dynamic
