Accession,Gene,Interactor
P04083,ANXA1,Stable
E9PDC3,ARVCF,Stable
P05023,ATP1A1,Stable
P12830,CDH1,Stable
P22223,CDH3,Stable
C9JRZ6,CHCHD3,Stable
A0A2R8YCH5,CTNNB1,Stable
Q5T5P0,KIAA1217,Stable
Q92542,NCSTN,Stable
A0A0D9SF60,PKP4,Stable
F5GZS6,SLC3A2,Stable
Q01650,SLC7A5,Stable
H3BR01,SPINT1,Stable
Q09666,AHNAK,Stable
P08758,ANXA5,Stable
P02647,APOA1,Stable
A0A1B0GUE3,ASAH1,Stable
Q5T9A4,ATAD3B,Stable
Q13867,BLMH,Stable
Q96S66,CLCC1,Stable
Q9UI42,CPA4,Stable
P35221,CTNNA1,Stable
O00571,DDX3X,Stable
Q14574,DSC3,Stable
P16422,EPCAM,Stable
Q01469,FABP5,Stable
Q96QA5,GSDMA,Stable
P42357,HAL,Stable
P11021,HSPA5,Stable
Q16891,IMMT,Stable
P14923,JUP,Stable
K7EMD9,KRT13,Stable
P19013,KRT4,Stable
P14618,PKM,Stable
Q13835,PKP1,Stable
P49768,PSEN1,Stable
P25786,PSMA1,Stable
H0YL69,PSMA4,Stable
P51148,RAB5C,Stable
P61224,RAP1B,Stable
P62277,RPS13,Stable
M0R2L9,RPS19,Stable
O14828,SCAMP3,Stable
O75533,SF3B1,Stable
P53985,SLC16A1,Stable
Q13501,SQSTM1,Stable
Q6ZXV5,TMTC3,Stable
P19474,TRIM21,Stable
