Input Files Workflow ID	Input Files Workflow Level	Input Files 	File ID	File Name	Creation Date	RT Range in min	Instrument Name	Software Revision	Ref File ID	buffer	experiment
-120	1	2706	F1	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer2_rep1.raw	04/23/2023 08:18:06	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT
-120	1	2707	F2	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer2_rep2.raw	04/23/2023 09:25:50	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT
-120	1	2708	F3	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer2_rep3.raw	04/23/2023 10:33:37	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT
-120	1	2709	F4	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer2_rep4.raw	04/23/2023 11:41:20	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT
-120	1	2710	F5	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer3_rep1.raw	04/23/2023 13:36:06	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT
-120	1	2711	F6	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer3_rep2.raw	04/23/2023 14:43:47	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT
-120	1	2712	F7	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer3_rep3.raw	04/23/2023 15:51:30	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT
-120	1	2713	F8	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer3_rep4.raw	04/23/2023 16:59:11	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT
-120	1	2714	F9	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer16_rep1.raw	04/23/2023 18:53:57	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer16	IDIRT
-120	1	2715	F10	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer16_rep2.raw	04/23/2023 20:01:40	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer16	IDIRT
-120	1	2716	F11	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer16_rep3.raw	04/23/2023 21:09:23	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer16	IDIRT
-120	1	2717	F12	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer16_rep4.raw	04/23/2023 22:17:06	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer16	IDIRT
-120	1	2718	F13	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer19_rep1.raw	04/24/2023 00:11:52	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer19	IDIRT
-120	1	2719	F14	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer19_rep2.raw	04/24/2023 01:19:36	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13		buffer19	IDIRT
-120	1	2720	F15	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer19_rep3.raw	04/24/2023 02:27:19	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer19	IDIRT
-120	1	2721	F16	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer19_rep4.raw	04/24/2023 03:35:06	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer19	IDIRT
-120	1	2722	F17	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer25_rep1.raw	04/24/2023 05:29:51	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer25	IDIRT
-120	1	2723	F18	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer25_rep2.raw	04/24/2023 06:37:34	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer25	IDIRT
-120	1	2724	F19	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer25_rep3.raw	04/24/2023 07:45:18	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer25	IDIRT
-120	1	2725	F20	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer25_rep4.raw	04/24/2023 08:53:01	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer25	IDIRT
-120	1	2726	F21	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer29_rep1.raw	04/24/2023 10:47:46	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer29	IDIRT
-120	1	2727	F22	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer29_rep2.raw	04/24/2023 11:55:27	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer29	IDIRT
-120	1	2728	F23	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer29_rep3.raw	04/24/2023 13:03:11	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer29	IDIRT
-120	1	2729	F24	I:\Shaoshuai_New\E-cadherin PD\IDIRT data\IDIRT_buffer29_rep4.raw	04/24/2023 14:10:54	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer29	IDIRT
-120	1	2758	F25	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer2_rep1.raw	05/24/2023 19:29:05	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT_swap
-120	1	2759	F26	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer2_rep2.raw	05/24/2023 20:36:48	0.00 - 60.01	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT_swap
-120	1	2760	F27	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer2_rep3.raw	05/24/2023 21:44:31	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT_swap
-120	1	2761	F28	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer2_rep4.raw	05/24/2023 22:52:14	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer2	IDIRT_swap
-120	1	2762	F29	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer3_rep1.raw	05/25/2023 00:46:58	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT_swap
-120	1	2763	F30	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer3_rep2.raw	05/25/2023 01:54:38	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT_swap
-120	1	2764	F31	I:\Shaoshuai_New\E-cadherin PD\IDIRT swap\IDIRT_SWAP_buffer3_rep3.raw	05/25/2023 03:02:19	0.00 - 60.00	Orbitrap Exploris Slot #164	3.0-3.0.204.12/3.0.261.13	F14	buffer3	IDIRT_swap
