Accession,gene
P35579,MYH9
P07900,HSP90AA1
P21333,FLNA
P78527,PRKDC
P49327,FASN
P10809,HSPD1
P08238,HSP90AB1
P42704,LRPPRC
P63261,ACTG1
P60709,ACTB
Q14204,DYNC1H1
P11021,HSPA5
P38646,HSPA9
P11142,HSPA8
P13639,EEF2
P07437,TUBB
P04406,GAPDH
Q08211,DHX9
P14625,HSP90B1
P06576,ATP5F1B
P68371,TUBB4B
P14618,PKM
P02545,LMNA
P29401,TKT
P06733,ENO1
P09874,PARP1
P05787,KRT8
P22314,UBA1
Q5JP53,TUBB
A0A087WVQ6,CLTC
P68104,EEF1A1
P04083,ANXA1
Q12906,ILF3
Q14697,GANAB
P22626,HNRNPA2B1
P07237,P4HB
Q3BDU5,LMNA
P07355,ANXA2
P04350,TUBB4A
Q9Y4L1,HYOU1
Q09666,AHNAK
Q00839,HNRNPU
P13667,PDIA4
P30101,PDIA3
P05783,KRT18
A0A0G2JIW1,HSPA1B
P27797,CALR
P61978,HNRNPK
P52272,HNRNPM
Q13509,TUBB3
F8W6I7,HNRNPA1
P04075,ALDOA
Q71U36,TUBA1A
P20700,LMNB1
P25705,ATP5F1A
E9PKU7,GANAB
P14866,HNRNPL
P58107,EPPK1
O75643,SNRNP200
P06748,NPM1
A8MXP9,MATR3
Q6P2Q9,PRPF8
O75533,SF3B1
P68366,TUBA4A
F5H5D3,TUBA1C
O43707,ACTN4
P48643,CCT5
Q13263,TRIM28
A0A087WV01,EEF1A1
P08727,KRT19
P00558,PGK1
P26599,PTBP1
P49411,TUFM
P55072,VCP
P34932,HSPA4
P49748,ACADVL
P07814,EPRS1
P62805,H4C1
P12956,XRCC6
P78371,CCT2
P19338,NCL
Q12931,TRAP1
P34897,SHMT2
P00338,LDHA
Q5T6W2,HNRNPK
P49321,NASP
P60174,TPI1
P09936,UCHL1
P50991,CCT4
Q32P51,HNRNPA1L2
P31948,STIP1
P06744,GPI
P04844,RPN2
P26038,MSN
P46940,IQGAP1
H0YFD6,HADHA
Q99832,CCT7
Q15029,EFTUD2
P23246,SFPQ
P17987,TCP1
P51991,HNRNPA3
Q92598,HSPH1
F5GZS6,SLC3A2
P68032,ACTC1
B4DY09,ILF2
K7EKE6,LONP1
P60842,EIF4A1
P13010,XRCC5
P04181,OAT
P08729,KRT7
P15924,DSP
P07195,LDHB
P68133,ACTA1
Q16891,IMMT
Q15233,NONO
P40227,CCT6A
P15311,EZR
Q9NR30,DDX21
P49368,CCT3
Q13435,SF3B2
P36578,RPL4
P50990,CCT8
Q15084,PDIA6
