"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Scaled F1 Sample"	"Abundances Scaled F2 Sample"	"Abundances Scaled F3 Sample"	"Abundances Scaled F4 Sample"	"Abundances Scaled F5 Sample"	"Abundances Scaled F6 Sample"	"Abundances Scaled F7 Sample"	"Abundances Scaled F8 Sample"	"Abundances Scaled F9 Sample"	"Abundances Scaled F10 Sample"	"Abundances Scaled F11 Sample"	"Abundances Scaled F12 Sample"	"Abundances Scaled F13 Sample"	"Abundances Scaled F14 Sample"	"Abundances Scaled F15 Sample"	"Abundances Scaled F16 Sample"	"Abundances Scaled F17 Sample"	"Abundances Scaled F18 Sample"	"Abundances Scaled F19 Sample"	"Abundances Scaled F20 Sample"	"Abundances Scaled F21 Sample"	"Abundances Scaled F22 Sample"	"Abundances Scaled F23 Sample"	"Abundances Scaled F24 Sample"	"Abundances Scaled F25 Sample"	"Abundances Scaled F26 Sample"	"Abundances Scaled F27 Sample"	"Abundances Scaled F28 Sample"	"Abundances Scaled F29 Sample"	"Abundances Scaled F30 Sample"	"Abundances Scaled F31 Sample"	"Abundances Scaled F32 Sample"	"Abundances Normalized F1 Sample"	"Abundances Normalized F2 Sample"	"Abundances Normalized F3 Sample"	"Abundances Normalized F4 Sample"	"Abundances Normalized F5 Sample"	"Abundances Normalized F6 Sample"	"Abundances Normalized F7 Sample"	"Abundances Normalized F8 Sample"	"Abundances Normalized F9 Sample"	"Abundances Normalized F10 Sample"	"Abundances Normalized F11 Sample"	"Abundances Normalized F12 Sample"	"Abundances Normalized F13 Sample"	"Abundances Normalized F14 Sample"	"Abundances Normalized F15 Sample"	"Abundances Normalized F16 Sample"	"Abundances Normalized F17 Sample"	"Abundances Normalized F18 Sample"	"Abundances Normalized F19 Sample"	"Abundances Normalized F20 Sample"	"Abundances Normalized F21 Sample"	"Abundances Normalized F22 Sample"	"Abundances Normalized F23 Sample"	"Abundances Normalized F24 Sample"	"Abundances Normalized F25 Sample"	"Abundances Normalized F26 Sample"	"Abundances Normalized F27 Sample"	"Abundances Normalized F28 Sample"	"Abundances Normalized F29 Sample"	"Abundances Normalized F30 Sample"	"Abundances Normalized F31 Sample"	"Abundances Normalized F32 Sample"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Abundance F5 Sample"	"Abundance F6 Sample"	"Abundance F7 Sample"	"Abundance F8 Sample"	"Abundance F9 Sample"	"Abundance F10 Sample"	"Abundance F11 Sample"	"Abundance F12 Sample"	"Abundance F13 Sample"	"Abundance F14 Sample"	"Abundance F15 Sample"	"Abundance F16 Sample"	"Abundance F17 Sample"	"Abundance F18 Sample"	"Abundance F19 Sample"	"Abundance F20 Sample"	"Abundance F21 Sample"	"Abundance F22 Sample"	"Abundance F23 Sample"	"Abundance F24 Sample"	"Abundance F25 Sample"	"Abundance F26 Sample"	"Abundance F27 Sample"	"Abundance F28 Sample"	"Abundance F29 Sample"	"Abundance F30 Sample"	"Abundance F31 Sample"	"Abundance F32 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Found in Sample in S5 F5 Sample"	"Found in Sample in S6 F6 Sample"	"Found in Sample in S7 F7 Sample"	"Found in Sample in S8 F8 Sample"	"Found in Sample in S9 F9 Sample"	"Found in Sample in S10 F10 Sample"	"Found in Sample in S11 F11 Sample"	"Found in Sample in S12 F12 Sample"	"Found in Sample in S13 F13 Sample"	"Found in Sample in S14 F14 Sample"	"Found in Sample in S15 F15 Sample"	"Found in Sample in S16 F16 Sample"	"Found in Sample in S17 F17 Sample"	"Found in Sample in S18 F18 Sample"	"Found in Sample in S19 F19 Sample"	"Found in Sample in S20 F20 Sample"	"Found in Sample in S21 F21 Sample"	"Found in Sample in S22 F22 Sample"	"Found in Sample in S23 F23 Sample"	"Found in Sample in S24 F24 Sample"	"Found in Sample in S25 F25 Sample"	"Found in Sample in S26 F26 Sample"	"Found in Sample in S27 F27 Sample"	"Found in Sample in S28 F28 Sample"	"Found in Sample in S29 F29 Sample"	"Found in Sample in S30 F30 Sample"	"Found in Sample in S31 F31 Sample"	"Found in Sample in S32 F32 Sample"	"Number of Protein Groups"	"Modifications"
"2226987394503501031"	"False"	"High"	"IsMasterProteinCandidate"	"Q96DA0"	"Zymogen granule protein 16 homolog B OS=Homo sapiens OX=9606 GN=ZG16B PE=1 SV=3"	"0.000"	"False"	"15.934"	"16"	"3"	"5"	"3"	"208"	"22.7"	"7.39"	"9.64"	"3"	"0"	""	"141.0"	""	"56.0"	"528.9"	"103.4"	""	"383.8"	""	""	"1045.8"	""	""	""	"21.6"	"51.8"	""	""	""	""	"234.8"	"36.4"	"152.8"	""	""	""	""	"62.7"	"381.0"	""	""	""	""	"445812.85366581"	""	"176970.126498598"	"1672402.5625"	"326997.993373656"	""	"1213696.8874364"	""	""	"3306909.54464788"	""	""	""	"68283.814879604"	"163662.339023007"	""	""	""	""	"742526.081358694"	"115106.219871662"	"483129.104550441"	""	""	""	""	"198309.047071674"	"1204862.46547229"	""	""	""	""	"65555.78125"	""	"11531.951171875"	"1672402.5625"	"54672.94921875"	""	"363276.625"	""	""	"1328591.25"	""	""	""	"6900.31298828125"	"160889.21875"	""	""	""	""	"271227.21875"	"19219.169921875"	"187066.46875"	""	""	""	""	"135927.3125"	"752451"	""	""	""	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-7059942601209660090"	"False"	"High"	"IsMasterProtein"	"A0A0C4DGN4"	"Zymogen granule protein 16 homolog B OS=Homo sapiens OX=9606 GN=ZG16B PE=1 SV=1"	"0.000"	"False"	"15.934"	"19"	"3"	"5"	"3"	"178"	"19.6"	"5.95"	"9.64"	"3"	"0"	""	"141.0"	""	"56.0"	"528.9"	"103.4"	""	"383.8"	""	""	"1045.8"	""	""	""	"21.6"	"51.8"	""	""	""	""	"234.8"	"36.4"	"152.8"	""	""	""	""	"62.7"	"381.0"	""	""	""	""	"445812.85366581"	""	"176970.126498598"	"1672402.5625"	"326997.993373656"	""	"1213696.8874364"	""	""	"3306909.54464788"	""	""	""	"68283.814879604"	"163662.339023007"	""	""	""	""	"742526.081358694"	"115106.219871662"	"483129.104550441"	""	""	""	""	"198309.047071674"	"1204862.46547229"	""	""	""	""	"65555.78125"	""	"11531.951171875"	"1672402.5625"	"54672.94921875"	""	"363276.625"	""	""	"1328591.25"	""	""	""	"6900.31298828125"	"160889.21875"	""	""	""	""	"271227.21875"	"19219.169921875"	"187066.46875"	""	""	""	""	"135927.3125"	"752451"	""	""	""	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"6120053414860031815"	"False"	"High"	"None"	"I3L1H9"	"Zymogen granule protein 16 homolog B (Fragment) OS=Homo sapiens OX=9606 GN=ZG16B PE=1 SV=1"	"0.000"	"False"	"13.535"	"36"	"2"	"4"	"2"	"69"	"7.5"	"9.32"	"7.68"	"2"	"0"	""	""	""	""	"722.0"	""	""	"380.7"	""	""	"1359.9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"737.4"	""	""	""	""	""	""	""	"1179729.625"	""	""	"622004.082751333"	""	""	"2222057.91782515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1204862.46547229"	""	""	""	""	""	""	""	"1179729.625"	""	""	"186174.609375"	""	""	"892738.875"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"752451"	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"8536440907702872507"	"False"	"High"	"None"	"I3L3X0"	"Zymogen granule protein 16 homolog B (Fragment) OS=Homo sapiens OX=9606 GN=ZG16B PE=1 SV=1"	"0.000"	"False"	"13.535"	"26"	"2"	"4"	"2"	"95"	"10.3"	"8.51"	"7.68"	"2"	"0"	""	""	""	""	"722.0"	""	""	"380.7"	""	""	"1359.9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"737.4"	""	""	""	""	""	""	""	"1179729.625"	""	""	"622004.082751333"	""	""	"2222057.91782515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1204862.46547229"	""	""	""	""	""	""	""	"1179729.625"	""	""	"186174.609375"	""	""	"892738.875"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"752451"	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-876330401098073420"	"False"	"High"	"IsMasterProtein"	"P25311"	"Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2"	"0.000"	"False"	"125.064"	"47"	"14"	"76"	"14"	"298"	"34.2"	"6.05"	"199.22"	"14"	"0"	"77.3"	"5.0"	"7.8"	""	"44.6"	"99.7"	"91.7"	"795.1"	"110.9"	"54.8"	"104.3"	"187.8"	"172.6"	"51.9"	"17.1"	"11.2"	"11.7"	"48.5"	"28.6"	"17.5"	"93.9"	""	"37.5"	"27.5"	"36.9"	"36.4"	"79.4"	"6.0"	"789.6"	"9.2"	"44.3"	"101.2"	"6142549.88612172"	"398894.07837339"	"621754.762354107"	""	"3543657.609375"	"7923612.00330943"	"7287554.98619424"	"63177349.9246035"	"8814787.62711952"	"4356753.0767352"	"8285790.00365373"	"14920634.2406867"	"13715825.4442235"	"4122644.10682313"	"1359695.955833"	"892330.808424259"	"931107.207421178"	"3854741.97816511"	"2271256.40313056"	"1391756.52532817"	"7457627.31819109"	""	"2982605.21160691"	"2181230.01494779"	"2928848.35625458"	"2893942.0612723"	"6310153.60493186"	"473649.653909921"	"62738563.1885628"	"730785.586680086"	"3519982.30953378"	"8040928.60944955"	"3099764.5078125"	"58656.48046875"	"125684.015625"	""	"3543657.609375"	"1324800.90234375"	"2540227.7578125"	"18909873.375"	"2729200.02734375"	"1945970.515625"	"3328917.2109375"	"2803243.3125"	"3778476.8125"	"279708.78125"	"137401.92578125"	"877211.015625"	"396175.5625"	"721569.7109375"	"680294.6953125"	"261919.15625"	"2724094.90625"	""	"1154857.8203125"	"489987.21875"	"305608.2578125"	"2681420.9453125"	"1447773.9765625"	"324654.5"	"39180982.03125"	"570699.4375"	"666133.8125"	"1060030.3125"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"1"	""
"5285530695508425109"	"False"	"High"	"None"	"C9JEV0"	"Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=1"	"0.000"	"False"	"67.464"	"47"	"9"	"49"	"9"	"227"	"26.3"	"5.73"	"122.31"	"9"	"0"	"66.4"	"8.5"	"13.2"	""	"52.8"	"118.6"	"73.2"	"934.9"	"126.6"	"50.7"	"91.3"	"167.7"	"161.1"	"50.2"	"28.9"	"6.3"	""	"71.0"	"48.3"	""	"74.1"	""	"17.7"	"23.1"	"62.3"	"34.1"	"103.1"	"10.1"	"672.9"	""	"74.9"	"57.7"	"3120110.44609468"	"398894.07837339"	"621754.762354107"	""	"2482401.109375"	"5572607.29525268"	"3440926.22989364"	"43918754.6053383"	"5946763.57868841"	"2380470.63731597"	"4289909.46869383"	"7879652.32995035"	"7566332.04626008"	"2357859.24527708"	"1359695.955833"	"296016.706503909"	""	"3337278.04709721"	"2271256.40313056"	""	"3480671.9542845"	""	"829323.169627893"	"1082880.48126074"	"2928848.35625458"	"1603188.98569434"	"4845067.47741751"	"473649.653909921"	"31609055.4563765"	""	"3519982.30953378"	"2711425.99732873"	"1574526.5078125"	"58656.48046875"	"125684.015625"	""	"2482401.109375"	"931720.93359375"	"1199405.8828125"	"13145503.71875"	"1841213.65234375"	"1063251.828125"	"1723523.4609375"	"1480405.078125"	"2084395.890625"	"159973.53125"	"137401.92578125"	"291000.953125"	""	"624705.5625"	"680294.6953125"	""	"1271407.15625"	""	"321112.0078125"	"243256.140625"	"305608.2578125"	"1485456.3203125"	"1111631.0390625"	"324654.5"	"19740232.65625"	""	"666133.8125"	"357445.5"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"1"	""
"6914165075270924418"	"False"	"High"	"None"	"H7BZJ8"	"Zinc-alpha-2-glycoprotein (Fragment) OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=1"	"0.000"	"False"	"15.151"	"25"	"1"	"13"	"1"	"85"	"9.7"	"9.70"	"47.58"	"1"	"0"	"67.0"	""	""	""	"132.3"	"220.6"	""	"688.9"	"76.2"	"82.6"	""	"209.8"	""	""	""	"16.0"	""	"389.0"	""	""	""	""	"54.8"	"76.7"	"181.6"	"27.6"	"74.4"	""	"459.6"	""	""	"443.0"	"409931.327414624"	""	""	""	"809941"	"1350132.20585274"	""	"4216293.63183334"	"466180.208438751"	"505695.673916009"	""	"1283896.24444526"	""	""	""	"97744.653829019"	""	"2380678.46034953"	""	""	""	""	"335294.069195222"	"469547.048099231"	"1111404.83001973"	"169084.143360656"	"455641.613495376"	""	"2813381.54249722"	""	""	"2711425.99732873"	"206866.953125"	""	""	""	"809941"	"225737.5"	""	"1261996.25"	"144336.890625"	"225872.078125"	""	"241214.515625"	""	""	""	"96088.453125"	""	"445639.546875"	""	""	""	""	"129825.0859375"	"105478.125"	"115968.6171875"	"156667.1875"	"104540.4140625"	""	"1756990.375"	""	""	"357445.5"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Peak Found"	"1"	""
"907467384912736406"	"False"	"High"	"IsMasterProteinCandidate"	"Q92504"	"Zinc transporter SLC39A7 OS=Homo sapiens OX=9606 GN=SLC39A7 PE=1 SV=2"	"0.000"	"False"	"5.200"	"3"	"1"	"7"	"1"	"469"	"50.1"	"6.87"	"4.68"	"1"	"0"	"25.7"	"548.3"	"54.2"	""	""	"180.6"	"107.9"	"113.7"	"60.8"	"103.1"	"199.9"	""	"86.1"	"122.6"	"648.6"	"92.0"	"33.4"	"73.0"	""	"69.5"	""	"109.6"	"87.4"	""	"34.1"	"140.3"	"150.9"	""	""	"38.1"	"120.2"	""	"77927.6249231395"	"1659678.68004777"	"164135.981508779"	""	""	"546573.182062463"	"326643.454454491"	"344034.801824364"	"184136.017418733"	"312150.534589592"	"604958.412167464"	""	"260754.401860974"	"370947.703243797"	"1963088.56774481"	"278482.33575821"	"100971.81624881"	"220864.908842085"	""	"210355.43464201"	""	"331830.341912777"	"264611.545149436"	""	"103093.454331578"	"424712.885855744"	"456869.933308864"	""	""	"115259.427139554"	"363765.939568222"	""	"39325.24609375"	"244052.03125"	"33179.109375"	""	""	"91385.171875"	"113858.3203125"	"102974.4765625"	"57011.47265625"	"139423.953125"	"243049.421875"	""	"71833.40625"	"25167.666015625"	"198376.8125"	"273763.6875"	"42962.36328125"	"41343.734375"	""	"39587.46875"	""	"55405.37890625"	"102456.9765625"	""	"10757.201171875"	"393523.4375"	"104822.234375"	""	""	"90010.65625"	"68840.34375"	""	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"1"	""
"-9188257391555122463"	"False"	"High"	"IsMasterProtein"	"A2AAT0"	"Zinc transporter SLC39A7 (Fragment) OS=Homo sapiens OX=9606 GN=SLC39A7 PE=1 SV=1"	"0.000"	"False"	"5.200"	"6"	"1"	"7"	"1"	"220"	"24.0"	"9.79"	"4.68"	"1"	"0"	"25.7"	"548.3"	"54.2"	""	""	"180.6"	"107.9"	"113.7"	"60.8"	"103.1"	"199.9"	""	"86.1"	"122.6"	"648.6"	"92.0"	"33.4"	"73.0"	""	"69.5"	""	"109.6"	"87.4"	""	"34.1"	"140.3"	"150.9"	""	""	"38.1"	"120.2"	""	"77927.6249231395"	"1659678.68004777"	"164135.981508779"	""	""	"546573.182062463"	"326643.454454491"	"344034.801824364"	"184136.017418733"	"312150.534589592"	"604958.412167464"	""	"260754.401860974"	"370947.703243797"	"1963088.56774481"	"278482.33575821"	"100971.81624881"	"220864.908842085"	""	"210355.43464201"	""	"331830.341912777"	"264611.545149436"	""	"103093.454331578"	"424712.885855744"	"456869.933308864"	""	""	"115259.427139554"	"363765.939568222"	""	"39325.24609375"	"244052.03125"	"33179.109375"	""	""	"91385.171875"	"113858.3203125"	"102974.4765625"	"57011.47265625"	"139423.953125"	"243049.421875"	""	"71833.40625"	"25167.666015625"	"198376.8125"	"273763.6875"	"42962.36328125"	"41343.734375"	""	"39587.46875"	""	"55405.37890625"	"102456.9765625"	""	"10757.201171875"	"393523.4375"	"104822.234375"	""	""	"90010.65625"	"68840.34375"	""	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"1"	""
"4696869049713103543"	"False"	"Medium"	"IsMasterProtein"	"Q6PML9"	"Zinc transporter 9 OS=Homo sapiens OX=9606 GN=SLC30A9 PE=1 SV=1"	"0.016"	"False"	"1.971"	"2"	"1"	"2"	"1"	"568"	"63.5"	"8.32"	"0.00"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
